SNo,Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
178,Sand Dollar,larva pluteus (free swimming stage),?,?,?,clypeasteroid,
,,juvenile (young urchin),,,,,
179,Sandpiper,?,?,?,fling,scolopacine,
180,Sardine,?,?,?,family,?,
181,Scorpion,?,?,?,bed,?,
,,,,,nest,,
182,Sea lion,pup,cow,bull,pod,otarine,
,,calf,,,colony,,
,,,,,herd,,
,,,,,rookery,,
,,,,,team,,
183,Sea Urchin,larva pluteus (free swimming stage),?,?,?,?,
,,juvenile (young urchin),,,,,
184,Seahorse,seafoal,seamare,seastallion,shoal,hippocampal,
185,Seal,pup,cow,bull,harem,phocine,
,,,,,herd,,
,,,,,pod,,
,,,,,rookery,,
186,Shark,cub,?,bull,school,selachian,flake (AUS)
,,pup,,,shiver,,
187,Sheep,lamb,ewe,ram,down,ovine,lamb
,Also see Ram,lambkin,dam,buck,drift,,mutton
,,cosset,,,drove,,hoggett
,,,,,mob,,
,,,,,flock,,
,,,,,fold,,
,,,,,herd,,
,,,,,trip,,
188,Shrew,shrewlet,sow,boar,colony,soricine,
,,,,,drove,,
189,Shrimp,,,,,,
190,Skunk,kit,sow,boar,surfeit,mephitine,
191,Snail,—,—,—,hood,gastropodian,escargot
,,,,,rout,,
,,,,,walk,,
192,Snake,snakelet,N/A,N/A,nest,anguine,
,,hatchling (a newly hatched snake),,,bed,elapine,
,,neonate(newborn),,,den,serpentine,
,,,,,knot,viperine,
,,,,,,ophidian,
193,Spider,spiderling,?,?,cluster,arachnine,
,,,,,clutter,arachnoid,
194,Squid,chick,hen,cock,audience,tethidine,calamari
195,Squirrel,pup,doe,buck,dray,sciurine,
,,kit,,,scurry,,
,,kitten,,,,,
196,Starling,?,?,?,chattering,sturnine,
,,,,,murmuration,,
197,Stingray,?,?,?,fever,myliobatoid,
198,Stinkbug,nymph,?,?,intrusion,pentatomidae,
199,Stork,?,?,?,muster,ciconine,
,,,,,mustering,,
200,Swallow,?,?,?,flight,hirundinine,
,,,,,gulp,,
201,Swan,cygnet,pen,cob,bank,cygnine,
,,flapper,,,bevy,,
,,,,,flock,,
,,,,,game,,
,,,,,herd,,
,,,,,team,,
,,,,,,,
,,,,,In flight,,
,,,,,flight,,
,,,,,wedge,,
202,Tapir,calf,cow,bull,herd,tapirine,
,,,,,measure,,
203,Tarsier,infant,doe,buck,herd,tarsiine,
,,,,,plot,,
,,,,,troop,,
204,Termite,larva,cow,bull,brood,isopteran,
,,,,,colony,,
,,,,,nest,,
,,,,,swarm,,
205,Tiger,cub,tigress,tiger,ambush,tigrine,
,,whelp,,,streak,,
206,Toad,tadpole,N/A,N/A,knot,ranine,
,,toadlet,,,nest,batrachian,
,,,,,lump},,
207,Trout,fingerling,hen,cock,hover,?,
208,Turkey,poult,hen,tom,rafter,?,poultry
,,,,gobbler,gang,,
,,,,stag,posse,,
,,,,jake (immature),,,
209,Turtle,hatchling,N/A,N/A,bale,chelonian,
,,,,,dule,,
,,,,,nest,,
,,,,,turn,,
210,Vicuña,calf,cow,bull,posse,cameline,
,,,,,herd,,
211,Viper,?,?,?,generation,viperine,
,,,,,nest,,
212,Vulture,?,?,?,venue,?,
213,Wallaby,joey,jill,jack,mob,?,
214,Walrus,calf,cow,bull,herd,odobenine,
,,,,,flock,,
,,,,,pod,,
,,,,,wealth,,
215,Wasp,larva,queen,drone,swarm,vespine,
,,,worker,,hive,,
,,,,,colony,,
,,,,,nest,,
216,Water buffalo,calf,cow,bull,pot,,carabeef
217,Weasel,pup,bitch,buck,gang,musteline,
,,kit,doe,dog,sneak,,
,,,jill,hub,,,
,,,,jack,,,
218,Whale,calf,cow,bull,gam,cetacean,blubber
,,,,,herd,cetaceous,
,,,,,mob,,
,,,,,pod,,
,,,,,school,,
219,Wolf,cub,bitch,dog,pack,lupine,
,,pup,she-wolf,,route,,
,,whelp,,,,,
220,Wolverine,kit,angeline,wolverine,pack,musteline,
,,whelp,,,gang,,
,,,,,mob,,
221,Wombat,joey,jill,jack,mob,?,
222,Woodcock,?,?,?,fall,?,
223,Woodpecker,chick,?,?,descent,picine,
224,Worm,wormlet,?,?,bed,helminthic,
,,,,,clat,vermian,
,,,,,clew,,
225,Wren,chick,cow,bull,herd,troglodytine,
,,,,,cabinet,,
226,Yak,calf,cow,bull,herd,?,
227,Zebra,colt,mare,stallion,herd,zebrine,
,,foal,,,cohort,hippotigrine,
,,,,,zeal,,
,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,
,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_animal_names,,,,,,,
